day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
2,0,KELP,2044.0,28.0,0.0,0.0,0.0,0.0,2047,27,0.0,0.0,0.0,0.0,2045.5,0.0
2,100,KELP,2046.0,7.0,2045.0,4.0,2044.0,33.0,2047,30,0.0,0.0,0.0,0.0,2046.5,0.0
2,200,KELP,2044.0,20.0,0.0,0.0,0.0,0.0,2047,20,0.0,0.0,0.0,0.0,2045.5,3.982421875
2,300,KELP,2044.0,21.0,0.0,0.0,0.0,0.0,2047,21,0.0,0.0,0.0,0.0,2045.5,2.2109375
2,400,KELP,2044.0,38.0,0.0,0.0,0.0,0.0,2047,30,0.0,0.0,0.0,0.0,2045.5,2.6318359375
2,500,KELP,2045.0,6.0,2044.0,29.0,0.0,0.0,2047,22,0.0,0.0,0.0,0.0,2046.0,2.34765625
2,600,KELP,2044.0,29.0,0.0,0.0,0.0,0.0,2047,29,0.0,0.0,0.0,0.0,2045.5,3.1279296875
2,700,KELP,2045.0,4.0,2044.0,30.0,0.0,0.0,2047,30,0.0,0.0,0.0,0.0,2046.0,4.6357421875
2,800,KELP,2043.0,28.0,0.0,0.0,0.0,0.0,2044,1,2047.0,28.0,0.0,0.0,2043.5,6.7099609375
2,900,KELP,2043.0,25.0,0.0,0.0,0.0,0.0,2047,25,0.0,0.0,0.0,0.0,2045.0,7.6982421875
2,1000,KELP,2043.0,22.0,0.0,0.0,0.0,0.0,2047,22,0.0,0.0,0.0,0.0,2045.0,7.576171875
2,1100,KELP,2043.0,27.0,0.0,0.0,0.0,0.0,2045,4,2047.0,27.0,0.0,0.0,2044.0,8.115234375
2,1200,KELP,2043.0,24.0,0.0,0.0,0.0,0.0,2047,24,0.0,0.0,0.0,0.0,2045.0,8.183349609375
2,1300,KELP,2043.0,30.0,0.0,0.0,0.0,0.0,2047,31,0.0,0.0,0.0,0.0,2045.0,8.24169921875
2,1400,KELP,2043.0,24.0,0.0,0.0,0.0,0.0,2044,2,2047.0,24.0,0.0,0.0,2043.5,10.0
2,1500,KELP,2043.0,21.0,0.0,0.0,0.0,0.0,2044,1,2047.0,21.0,0.0,0.0,2043.5,12.197265625
2,1600,KELP,2043.0,28.0,0.0,0.0,0.0,0.0,2047,28,0.0,0.0,0.0,0.0,2045.0,12.5478515625
2,1700,KELP,2043.0,25.0,0.0,0.0,0.0,0.0,2047,25,0.0,0.0,0.0,0.0,2045.0,12.79248046875
2,1800,KELP,2045.0,2.0,2043.0,28.0,0.0,0.0,2047,28,0.0,0.0,0.0,0.0,2046.0,12.79248046875
2,1900,KELP,2043.0,28.0,0.0,0.0,0.0,0.0,2047,28,0.0,0.0,0.0,0.0,2045.0,21.5546875
2,2000,KELP,2043.0,30.0,0.0,0.0,0.0,0.0,2047,30,0.0,0.0,0.0,0.0,2045.0,21.453125
